iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,8,0.11015719920396805
1000,-1.0,2.0,8,0.07010236382484436
1500,-0.88,2.12,8,0.045319389551877975
2000,-1.0,2.0,8,0.03018198534846306
2500,-0.88,2.12,8,0.04543660208582878
3000,-0.64,2.0,11,0.015363749116659164
3500,-0.64,2.0,11,0.02876007743179798
4000,-0.25,2.0,8,0.02827855944633484
4500,-0.55,2.0,11,0.013449229300022125
5000,0.0,2.0,8,0.008306434378027916
5500,0.0,2.0,8,0.006821204908192158
6000,-0.58,2.0,12,0.004714939743280411
6500,0.0,2.0,8,0.014622082002460957
7000,-0.12,2.0,8,0.0018454398959875107
7500,0.12,2.12,8,0.01933901757001877
8000,0.12,2.25,8,0.01688690111041069
8500,0.0,2.0,8,0.01504180021584034
9000,-0.12,2.12,8,0.026171652600169182
9500,-0.12,2.0,8,0.009165086783468723
10000,0.0,2.12,8,0.012530277483165264
10500,0.12,2.25,8,0.019666621461510658
11000,0.25,2.38,8,0.0031703675631433725
11500,0.0,2.0,8,0.0030811098404228687
12000,0.12,2.12,8,0.019258514046669006
12500,-0.12,2.0,8,0.01226020511239767
13000,0.12,2.38,8,0.013526960276067257
13500,0.12,2.12,8,0.0016184106934815645
14000,0.25,2.25,8,0.00472661666572094
14500,-0.22,2.33,9,0.0020527089945971966
15000,0.25,2.62,8,0.033915504813194275
15500,0.0,2.12,8,0.008397944271564484
16000,0.75,2.88,8,0.008736233226954937
16500,0.0,2.12,8,0.0039609079249203205
17000,0.12,2.38,8,0.04358921945095062
17500,0.73,3.18,11,0.002926792250946164
18000,0.62,2.88,8,0.017157772555947304
18500,0.25,2.38,8,0.02571040950715542
19000,0.38,2.75,8,0.014945078641176224
19500,0.5,2.62,8,0.019473716616630554
20000,0.38,2.62,8,0.023356547579169273
20500,0.5,2.5,8,0.0410531722009182
21000,0.0,2.38,8,0.022879458963871002
21500,0.88,2.88,8,0.025260986760258675
22000,1.0,3.12,8,0.009411667473614216
22500,0.75,2.75,8,0.005667280405759811
23000,0.5,3.12,8,0.010518234223127365
23500,0.89,3.22,9,0.05573949217796326
24000,0.88,3.0,8,0.01317930780351162
24500,0.5,2.62,8,0.035419173538684845
25000,1.09,3.64,11,0.008622728288173676
25500,0.5,2.5,8,0.014129230752587318
26000,0.38,2.38,8,0.015607761219143867
26500,0.88,3.0,8,0.009046224877238274
27000,0.25,2.25,8,0.016586653888225555
27500,0.62,2.75,8,0.0047238110564649105
28000,0.75,2.75,8,0.08252745121717453
28500,0.5,2.5,8,0.005487347021698952
29000,0.5,2.5,8,0.016317201778292656
29500,0.0,2.0,8,0.05835907161235809
30000,0.62,2.88,8,0.008924664929509163
30500,0.75,2.88,8,0.013287043198943138
31000,0.25,2.38,8,0.004631743300706148
31500,0.56,2.89,9,0.006024590227752924
32000,0.5,2.62,8,0.019547339528799057
32500,0.38,2.38,8,0.060952991247177124
33000,0.25,2.25,8,0.0040929075330495834
33500,0.38,2.38,8,0.021848222240805626
34000,0.88,3.12,8,0.06538234651088715
34500,0.5,2.5,8,0.017694007605314255
35000,0.7,3.2,10,0.06516368687152863
35500,1.0,3.44,9,0.012698149308562279
36000,1.0,3.33,9,0.07298436760902405
36500,0.88,3.0,8,0.0706714391708374
37000,0.38,2.38,8,0.009975210763514042
37500,1.0,3.25,8,0.008266154676675797
38000,1.0,3.12,8,0.036864954978227615
38500,0.62,2.62,8,0.09235581755638123
39000,1.0,3.3,10,0.07374779134988785
39500,1.38,3.5,8,0.05859135463833809
40000,0.75,2.88,8,0.009967262856662273
40500,1.12,3.25,8,0.017212022095918655
41000,1.44,4.0,9,0.016001153737306595
41500,2.1,4.8,10,0.024176117032766342
42000,1.0,3.38,8,0.012270801700651646
42500,0.89,3.33,9,0.010098461993038654
43000,2.38,5.38,8,0.012198299169540405
43500,0.5,2.62,8,0.007119528949260712
44000,1.56,4.0,9,0.018516575917601585
44500,1.38,3.62,8,0.014895272441208363
45000,1.0,3.12,8,0.023690788075327873
45500,-0.12,2.0,8,0.02699289657175541
46000,1.0,3.12,8,0.020472189411520958
46500,1.67,4.11,9,0.012678522616624832
47000,0.88,3.0,8,0.033754926174879074
47500,0.62,2.88,8,0.013806167058646679
48000,0.88,2.88,8,0.03002781793475151
48500,1.5,3.9,10,0.014765171334147453
49000,0.88,2.88,8,0.0193131472915411
49500,0.5,2.5,8,0.24045570194721222
50000,0.89,3.22,9,0.0819384753704071
50500,1.5,4.0,10,0.09071780741214752
51000,1.78,4.22,9,0.015134928748011589
51500,2.0,4.44,9,0.009861234575510025
52000,1.89,4.33,9,0.021205028519034386
52500,1.3,3.7,10,0.012102319858968258
53000,1.9,4.4,10,0.010626989416778088
53500,1.1,3.4,10,0.1076764315366745
54000,0.62,2.75,8,0.024527007713913918
54500,1.8,4.4,10,0.18138176202774048
55000,3.25,6.25,8,0.18059946596622467
55500,1.75,3.88,8,0.09696211665868759
56000,2.0,4.38,8,0.013358958065509796
56500,3.25,6.25,8,0.012850678525865078
57000,1.25,3.38,8,0.17674311995506287
57500,4.0,7.0,8,0.10040666908025742
58000,1.9,4.3,10,0.029583461582660675
58500,3.88,6.88,8,0.10750488936901093
59000,1.38,3.62,8,0.017078422009944916
59500,0.8,3.1,10,0.012468569912016392
60000,1.12,3.38,8,0.2976810932159424
60500,1.67,4.0,9,0.01836269348859787
61000,3.44,6.11,9,0.10017465054988861
61500,0.75,3.0,8,0.014764032326638699
62000,2.88,5.88,8,0.10798671841621399
62500,1.78,4.11,9,0.11753632873296738
63000,3.25,6.25,8,0.024356326088309288
63500,3.0,6.0,8,0.013319228775799274
64000,2.55,5.0,11,0.020724264904856682
64500,5.12,8.12,8,0.28287065029144287
65000,4.5,7.5,8,0.13012246787548065
65500,3.88,6.88,8,0.11388909071683884
66000,4.5,7.5,8,0.03055211342871189
66500,3.38,6.38,8,0.01996244303882122
67000,2.62,5.62,8,0.021095523610711098
67500,4.38,7.38,8,0.017413318157196045
68000,2.92,5.5,12,0.10987548530101776
68500,5.75,8.75,8,0.21230681240558624
69000,1.56,4.11,9,0.10015667974948883
69500,2.92,5.46,13,0.023363027721643448
70000,2.67,5.11,9,0.1928407847881317
70500,0.5,2.5,8,0.026654494926333427
71000,3.38,6.38,8,0.18773825466632843
71500,3.18,5.73,11,0.015607760287821293
72000,3.5,6.5,8,0.030926892533898354
72500,4.12,7.12,8,0.22378435730934143
73000,4.1,6.7,10,0.13929401338100433
73500,6.0,9.0,8,0.02902182750403881
74000,3.75,6.75,8,0.23624996840953827
74500,3.12,6.12,8,0.012112768366932869
75000,3.88,6.88,8,0.01566772535443306
75500,3.75,6.75,8,0.02205970510840416
76000,4.88,7.88,8,0.1261148452758789
76500,3.42,6.0,12,0.12504149973392487
77000,1.75,4.75,8,0.023264441639184952
77500,2.75,5.75,8,0.22919918596744537
78000,3.12,6.12,8,0.05761906877160072
78500,5.12,8.12,8,0.1247749924659729
79000,6.38,9.38,8,0.10905814170837402
79500,1.75,4.75,8,0.022304130718111992
80000,4.12,7.12,8,0.1341131329536438
80500,2.38,4.88,8,0.1660938858985901
81000,4.25,7.25,8,0.12106791883707047
81500,2.8,5.4,10,0.02767064981162548
82000,4.0,7.0,9,0.2439461648464203
82500,3.88,6.88,8,0.022531315684318542
83000,2.75,5.75,8,0.03954778239130974
83500,4.5,7.5,8,0.033515073359012604
84000,3.12,6.12,8,0.03363597020506859
84500,5.88,8.88,8,0.1616951823234558
85000,4.12,7.12,8,0.08254427462816238
85500,4.25,7.25,8,0.15787175297737122
86000,3.88,6.88,8,0.07194516062736511
86500,6.12,9.12,8,0.024851646274328232
87000,3.12,6.12,8,0.17359361052513123
87500,6.38,9.38,8,0.03575854375958443
88000,1.62,4.62,8,0.26392418146133423
88500,4.12,7.12,8,0.031463976949453354
89000,2.75,5.75,8,0.3312825858592987
89500,5.5,8.5,8,0.02124006487429142
90000,3.5,6.5,8,0.041367530822753906
90500,4.75,7.75,8,0.15292535722255707
91000,6.38,9.38,8,0.053153738379478455
91500,4.62,7.62,8,0.4163719117641449
92000,5.12,8.12,8,0.2888650596141815
92500,3.75,6.75,8,0.0265047550201416
93000,4.25,7.25,8,0.16506612300872803
93500,5.5,8.5,8,0.4269469380378723
94000,8.12,11.12,8,0.15906170010566711
94500,4.12,7.12,8,0.02910902537405491
95000,2.25,5.25,8,0.029397500678896904
95500,5.88,8.88,8,0.15787215530872345
96000,3.38,6.38,8,0.16377350687980652
96500,3.88,6.88,8,0.03863013535737991
97000,3.88,6.88,8,0.19297534227371216
97500,4.75,7.75,8,0.18293394148349762
98000,1.62,3.88,8,0.16353707015514374
98500,5.5,8.5,8,0.11277015507221222
99000,4.62,7.62,8,0.5017915964126587
99500,7.0,10.0,8,0.13209037482738495
100000,6.67,9.67,9,0.1578376442193985
100500,8.12,11.12,8,0.01943281479179859
101000,2.5,5.1,10,0.17992810904979706
101500,5.12,8.12,8,0.03005266934633255
102000,3.5,6.5,8,0.29952847957611084
102500,5.88,8.88,8,0.1767576038837433
103000,5.38,8.38,8,0.14849156141281128
103500,5.38,8.38,8,0.16404879093170166
104000,2.88,5.88,8,0.15302132070064545
104500,3.88,6.88,8,0.025025103241205215
105000,2.75,5.75,8,0.32296857237815857
105500,8.25,11.25,8,0.16925105452537537
106000,3.88,6.88,8,0.024899711832404137
106500,3.75,6.75,8,0.15800580382347107
107000,5.88,8.88,8,0.1927100569009781
107500,8.5,11.5,8,0.02777697518467903
108000,6.12,9.12,8,0.02455548755824566
108500,4.88,7.88,8,0.46198898553848267
109000,6.25,9.25,8,0.17165541648864746
109500,4.25,7.25,8,0.13897953927516937
110000,4.25,7.25,8,0.17630428075790405
110500,3.75,6.75,8,0.18098321557044983
111000,7.62,10.62,8,0.4398656189441681
111500,5.88,8.88,8,0.09653803706169128
112000,4.38,7.38,8,0.0280471034348011
112500,5.75,8.75,8,0.027865557000041008
113000,6.12,9.12,8,0.35053759813308716
113500,6.38,9.38,8,0.3246149718761444
114000,9.0,12.0,8,0.18158647418022156
114500,4.75,7.75,8,0.18388374149799347
115000,4.0,7.0,8,0.02100129798054695
115500,4.62,7.62,8,0.16680684685707092
116000,4.88,7.88,8,0.03339378535747528
116500,5.62,8.62,8,0.1779482066631317
117000,6.38,9.38,8,0.026380546391010284
117500,11.12,14.12,8,0.012580757960677147
118000,4.0,7.0,8,0.03468899428844452
118500,4.25,7.25,8,0.5087413191795349
119000,3.88,6.88,8,0.1975405365228653
119500,5.25,8.25,8,0.03798544779419899
120000,8.62,11.62,8,0.04326067119836807
120500,2.82,5.45,11,0.019834348931908607
121000,4.12,7.12,8,0.028949270024895668
121500,4.75,7.75,8,0.17836564779281616
122000,3.5,6.0,10,0.538627564907074
122500,6.0,9.0,8,0.07678326219320297
123000,7.38,10.38,8,0.020799778401851654
123500,2.25,5.25,8,0.12911497056484222
124000,4.62,7.62,8,0.021185236051678658
124500,3.08,5.67,12,0.15096904337406158
125000,8.25,11.25,8,0.3534778952598572
125500,4.88,7.88,8,0.032136231660842896
126000,6.25,9.25,8,0.01372963935136795
126500,4.12,6.88,8,0.19414980709552765
127000,6.88,9.88,8,0.16751602292060852
127500,6.12,9.12,8,0.027590841054916382
128000,6.62,9.62,8,0.19415906071662903
128500,5.0,8.0,8,0.0348769910633564
129000,6.0,9.0,8,0.2063436210155487
129500,7.25,10.25,8,0.21216873824596405
130000,4.0,7.0,8,0.1736486256122589
130500,2.5,5.5,8,0.06351213157176971
131000,4.62,7.62,8,0.04236222431063652
131500,7.0,10.0,8,0.5218156576156616
132000,5.12,8.12,8,0.0966544970870018
132500,4.0,7.0,8,0.049482233822345734
133000,7.88,10.88,8,0.5255286693572998
133500,3.12,6.12,8,0.21728627383708954
134000,8.75,11.75,8,0.20359258353710175
134500,4.0,7.0,8,0.031994596123695374
135000,6.12,9.12,8,0.3846808075904846
135500,4.75,7.75,8,0.023035943508148193
136000,8.12,11.12,8,0.19493359327316284
136500,6.38,9.38,8,0.196726992726326
137000,5.62,8.62,8,0.022202085703611374
137500,6.75,9.75,8,0.02988618239760399
138000,4.38,7.38,8,0.1939205527305603
138500,7.25,10.25,8,0.02436699904501438
139000,1.56,3.89,9,0.20627018809318542
139500,4.25,7.25,8,0.014864355325698853
140000,6.62,9.62,8,0.38736027479171753
140500,6.38,9.38,8,0.368286669254303
141000,3.38,6.38,8,0.1838463991880417
141500,7.62,10.62,8,0.17286337912082672
142000,4.12,7.12,8,0.07638096064329147
142500,5.88,8.88,8,0.5347093343734741
143000,3.0,6.0,8,0.08518008142709732
143500,5.25,8.25,8,0.2227989137172699
144000,5.38,8.38,8,0.06413503736257553
144500,6.0,9.0,8,0.031453441828489304
145000,3.62,6.62,8,0.20538821816444397
145500,5.62,8.62,8,0.05408192798495293
146000,5.5,8.5,8,0.03512614965438843
146500,5.38,8.38,8,0.03579522669315338
147000,5.38,8.38,8,0.021649695932865143
147500,3.25,6.25,8,0.0409839004278183
148000,4.38,7.38,8,0.1851789951324463
148500,7.75,10.75,8,0.20449866354465485
149000,5.67,8.67,9,0.20791076123714447
149500,3.88,6.88,8,0.20287080109119415
150000,5.25,8.25,8,0.1991913765668869
150500,8.5,11.5,8,0.3662354052066803
151000,3.12,6.12,8,0.05280638486146927
151500,5.75,8.75,8,0.2402300238609314
152000,5.44,8.44,9,0.03174268826842308
152500,6.38,9.38,8,0.04674143344163895
153000,8.25,11.25,8,0.2044498473405838
153500,6.62,9.62,8,0.13850992918014526
154000,5.38,8.38,8,0.22861789166927338
154500,5.0,8.0,8,0.47787365317344666
155000,7.0,10.0,8,0.027798011898994446
155500,5.38,8.38,8,0.031954314559698105
156000,6.12,9.12,8,0.04198185354471207
156500,8.12,11.12,8,0.017663784325122833
157000,4.62,7.62,8,0.05986712500452995
157500,3.88,6.88,8,0.19518539309501648
158000,5.12,8.12,8,0.2116040736436844
158500,5.62,8.62,8,0.03393001854419708
159000,7.62,10.62,8,0.394395649433136
159500,5.88,8.88,8,0.04115999490022659
160000,5.75,8.75,8,0.19414493441581726
160500,8.0,11.0,8,0.03725260868668556
161000,4.25,7.25,8,0.032032642513513565
161500,3.75,6.75,8,0.2045799344778061
162000,2.62,5.62,8,0.04258677735924721
162500,10.38,13.38,8,0.22380106151103973
163000,7.62,10.62,8,0.04095081984996796
163500,7.38,10.38,8,0.045017991214990616
164000,5.88,8.88,8,0.02252126857638359
164500,2.75,5.75,8,0.13933038711547852
165000,5.38,8.38,8,0.019896693527698517
165500,6.38,9.38,8,0.4039064645767212
166000,5.12,8.12,8,0.25609108805656433
166500,5.38,8.38,8,0.13792899250984192
167000,6.12,9.12,8,0.44250988960266113
167500,6.88,9.88,8,0.22308754920959473
168000,5.88,8.88,8,0.36555221676826477
168500,6.75,9.75,8,0.022242967039346695
169000,10.25,13.25,8,0.3338134288787842
169500,6.5,9.5,8,0.2361600399017334
170000,5.0,8.0,8,0.1392955183982849
170500,6.88,9.88,8,0.02450551837682724
171000,4.38,7.38,8,0.23628419637680054
171500,5.0,8.0,8,0.06738846004009247
172000,9.5,12.5,8,0.22909018397331238
172500,4.5,7.5,8,0.07583282887935638
173000,6.88,9.88,8,0.1018097996711731
173500,4.38,7.38,8,0.2626597583293915
174000,7.12,10.12,8,0.21344396471977234
174500,5.75,8.75,8,0.062221650034189224
175000,4.0,7.0,8,0.37674057483673096
175500,10.12,13.12,8,0.3656776547431946
176000,7.0,10.0,8,0.01856822893023491
176500,3.25,6.25,8,0.020180055871605873
177000,6.25,9.25,8,0.06843893229961395
177500,1.5,4.5,8,0.020098762586712837
178000,3.62,6.62,8,0.2371235489845276
178500,10.0,13.0,8,0.36136871576309204
179000,4.0,7.0,8,0.3065359592437744
179500,5.75,8.75,8,0.2073727548122406
180000,6.88,9.88,8,0.22554419934749603
