iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,9,0.1877264380455017
1000,-1.0,2.0,8,0.15091978013515472
1500,-0.88,2.12,8,0.12351865321397781
2000,-0.25,2.12,8,0.06970003992319107
2500,-0.55,2.0,11,0.04703964665532112
3000,-0.12,2.0,8,0.04328440502285957
3500,-0.38,2.0,8,0.06390825659036636
4000,0.12,2.12,8,0.037870679050683975
4500,0.12,2.12,8,0.06354719400405884
5000,0.0,2.0,8,0.05636678263545036
5500,0.0,2.0,8,0.029748031869530678
6000,0.25,2.38,8,0.01726830005645752
6500,0.1,2.5,10,0.02177666872739792
7000,0.25,2.38,8,0.013926939107477665
7500,0.12,2.12,8,0.01673138327896595
8000,0.38,2.5,8,0.021746095269918442
8500,0.0,2.0,8,0.011779025197029114
9000,0.62,2.62,8,0.019977405667304993
9500,0.75,3.25,8,0.014684392139315605
10000,0.25,2.25,8,0.017971832305192947
10500,0.25,2.5,8,0.01873655430972576
11000,0.88,3.12,8,0.01381703931838274
11500,0.62,2.75,8,0.01388287078589201
12000,0.5,2.5,8,0.02941763773560524
12500,0.12,2.12,8,0.016798682510852814
13000,0.38,2.5,8,0.015773331746459007
13500,0.38,2.38,8,0.01297927089035511
14000,0.0,2.12,8,0.016945339739322662
14500,0.75,2.88,8,0.018539825454354286
15000,0.62,2.75,8,0.01898670569062233
15500,0.88,2.88,8,0.016455654054880142
16000,0.62,2.62,8,0.022522451356053352
16500,0.89,3.22,9,0.024341735988855362
17000,0.25,2.25,8,0.018746525049209595
17500,0.38,2.38,8,0.02569640427827835
18000,0.12,2.12,8,0.03368990123271942
18500,0.78,3.0,9,0.022808169946074486
19000,0.88,3.0,8,0.029942112043499947
19500,0.62,2.62,8,0.0261016096919775
20000,0.75,2.88,8,0.039668794721364975
20500,0.75,2.75,8,0.025199400261044502
21000,0.38,2.38,8,0.10843739658594131
21500,0.75,2.75,8,0.03784456104040146
22000,0.88,3.12,8,0.02455556020140648
22500,0.88,3.12,8,0.03547833487391472
23000,0.75,2.75,8,0.03550530597567558
23500,1.25,3.5,8,0.04822488874197006
24000,0.38,2.38,8,0.09310945123434067
24500,1.12,3.25,8,0.0317513681948185
25000,0.88,2.88,8,0.04281541332602501
25500,0.88,3.0,8,0.05240761116147041
26000,0.88,2.88,8,0.16416087746620178
26500,0.88,3.0,8,0.06363096833229065
27000,0.5,2.5,8,0.07614915817975998
27500,1.0,3.25,8,0.09042809903621674
28000,1.0,3.0,8,0.1328837275505066
28500,0.62,2.62,8,0.06508035212755203
29000,1.0,3.0,8,0.11296556144952774
29500,0.88,2.88,8,0.08005116879940033
30000,0.88,3.0,8,0.0761888176202774
30500,1.0,3.12,8,0.10410502552986145
31000,0.5,2.62,8,0.10555840283632278
31500,0.88,2.88,8,0.09680138528347015
32000,0.62,2.62,8,0.10148632526397705
32500,0.5,2.5,8,0.09307412058115005
33000,0.88,3.0,8,0.08407379686832428
33500,0.62,2.75,8,0.12538941204547882
34000,1.2,3.6,10,0.09226904809474945
34500,0.75,2.75,8,0.07406599819660187
35000,0.62,2.75,8,0.07749925553798676
35500,1.12,3.12,8,0.11302261799573898
36000,1.78,4.33,9,0.13366371393203735
36500,1.25,3.38,8,0.09362819045782089
37000,0.88,3.0,8,0.07623693346977234
37500,0.75,2.88,8,0.17206497490406036
38000,1.12,3.38,8,0.08576788008213043
38500,0.62,2.62,8,0.10503780841827393
39000,0.75,2.75,8,0.06385311484336853
39500,1.12,3.25,8,0.12858860194683075
40000,1.0,3.25,8,0.06500422954559326
40500,1.11,3.33,9,0.09030451625585556
41000,1.33,3.78,9,0.0818326473236084
41500,0.75,2.75,8,0.08851204812526703
42000,0.88,2.88,8,0.06371443718671799
42500,0.75,2.88,8,0.08621267229318619
43000,1.25,3.5,8,0.057112302631139755
43500,1.33,3.56,9,0.09707114100456238
44000,1.5,3.5,8,0.07911600172519684
44500,1.38,3.62,8,0.09165628999471664
45000,1.25,3.38,8,0.07699186354875565
45500,1.55,4.0,11,0.0645301565527916
46000,1.38,3.62,8,0.08980853855609894
46500,0.62,2.75,8,0.047059863805770874
47000,1.44,3.67,9,0.0664825439453125
47500,1.22,3.56,9,0.08214457333087921
48000,1.25,3.62,8,0.14109477400779724
48500,0.88,3.0,8,0.05791822820901871
49000,1.56,3.89,9,0.04624339938163757
49500,1.0,3.12,8,0.07066143304109573
50000,1.44,3.67,9,0.07330860942602158
50500,1.25,3.62,8,0.12500618398189545
51000,1.33,3.67,9,0.07455778121948242
51500,1.3,3.6,10,0.045886360108852386
52000,1.25,3.5,8,0.055065520107746124
52500,1.25,3.75,12,0.07975220680236816
53000,0.75,3.0,8,0.05231345444917679
53500,1.5,3.75,8,0.07286849617958069
54000,1.25,3.38,8,0.0636468455195427
54500,1.4,3.8,10,0.07158248126506805
55000,1.44,3.78,9,0.07808312028646469
55500,2.0,4.5,10,0.07684952765703201
56000,1.38,3.38,8,0.05555981397628784
56500,1.22,3.56,9,0.04653763771057129
57000,0.75,2.88,8,0.07379914820194244
57500,1.56,3.89,9,0.06456227600574493
58000,1.78,4.33,9,0.04323190450668335
58500,1.1,3.4,10,0.07470965385437012
59000,1.78,4.11,9,0.03978365659713745
59500,1.12,3.38,8,0.05277442932128906
60000,1.12,3.25,8,0.08437516540288925
60500,1.55,4.0,11,0.030335213989019394
61000,2.0,4.22,9,0.04277127981185913
61500,1.22,3.56,9,0.04241635277867317
62000,1.4,3.7,10,0.04201139137148857
62500,1.75,4.17,12,0.06867881864309311
63000,1.44,3.78,9,0.06079541891813278
63500,1.89,4.22,9,0.03768965229392052
64000,2.5,5.5,8,0.03735170140862465
64500,1.91,4.45,11,0.06155230849981308
65000,1.67,4.11,9,0.043095190078020096
65500,2.0,4.25,8,0.044765979051589966
66000,2.11,5.11,9,0.049628421664237976
66500,1.22,3.56,9,0.033925533294677734
67000,0.75,3.0,8,0.06593214720487595
67500,2.5,5.5,8,0.043259695172309875
68000,1.92,4.5,12,0.04955969378352165
68500,1.75,4.33,12,0.03326995670795441
69000,2.62,5.62,8,0.03456799313426018
69500,1.44,3.89,9,0.034813519567251205
70000,2.3,5.0,10,0.06529702246189117
70500,1.56,3.78,9,0.032625481486320496
71000,2.5,5.5,8,0.03813187777996063
71500,2.62,5.62,8,0.044068772345781326
72000,1.67,4.11,9,0.02995869889855385
72500,1.22,3.56,9,0.05747031420469284
73000,2.25,5.25,8,0.049464352428913116
73500,3.12,6.12,8,0.05546756088733673
74000,1.89,4.44,9,0.3210274577140808
74500,1.7,4.2,10,0.03091222047805786
75000,2.25,5.25,8,0.03332705795764923
75500,1.7,4.3,10,0.04190225899219513
76000,1.12,3.5,8,0.07090964913368225
76500,2.12,5.12,8,0.02595060132443905
77000,2.09,4.64,11,0.7655595541000366
77500,1.73,4.36,11,0.07594877481460571
78000,2.09,4.64,11,0.039083369076251984
78500,2.0,4.6,10,0.025820625945925713
79000,1.9,4.4,10,0.029513826593756676
79500,2.25,5.25,8,0.03401707857847214
80000,2.5,5.5,8,0.05462304502725601
80500,2.75,5.75,8,0.031132875010371208
81000,2.88,5.88,8,0.021399836987257004
81500,2.38,5.38,8,0.024053797125816345
82000,2.38,5.38,8,0.03164168447256088
82500,2.5,5.5,8,0.08173705637454987
83000,2.12,5.12,8,0.037582896649837494
83500,2.75,5.75,8,0.02237735129892826
84000,2.38,5.38,8,0.03732599318027496
84500,2.62,5.62,8,0.02832157164812088
85000,2.25,5.25,8,0.029529428109526634
