iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,8,0.17819097638130188
1000,-0.88,2.12,8,0.1520324945449829
1500,-1.0,2.0,8,0.08566625416278839
2000,-0.78,2.22,9,0.1003694012761116
2500,-1.0,2.0,8,0.07576614618301392
3000,-0.5,2.0,10,0.06828246265649796
3500,-0.25,2.0,8,0.04999937117099762
4000,0.0,2.0,8,0.045300986617803574
4500,0.0,2.0,8,0.022025922313332558
5000,0.12,2.12,8,0.021229080855846405
5500,0.0,2.0,8,0.02330714650452137
6000,0.25,2.25,8,0.01627511903643608
6500,0.0,2.0,8,0.030251869931817055
7000,0.0,2.12,8,0.020759956911206245
7500,0.11,2.44,9,0.03545257821679115
8000,0.38,2.38,8,0.013147193007171154
8500,0.12,2.12,8,0.010414114221930504
9000,0.38,2.5,8,0.00608808733522892
9500,1.5,3.88,8,0.02483564056456089
10000,0.12,2.25,8,0.015167208388447762
10500,0.88,3.12,8,0.020454488694667816
11000,0.25,2.25,8,0.018692901358008385
11500,0.88,3.12,8,0.01500919833779335
12000,0.62,2.75,8,0.014734995551407337
12500,1.0,3.38,8,0.04074319079518318
13000,0.88,3.0,8,0.015577999874949455
13500,1.25,3.5,8,0.039592526853084564
14000,1.11,3.33,9,0.021606894209980965
14500,0.75,3.0,8,0.04806157946586609
15000,0.88,3.0,8,0.02274041622877121
15500,1.7,4.2,10,0.0383116751909256
16000,1.12,3.25,8,0.053989555686712265
16500,1.62,4.12,8,0.04907248541712761
17000,2.0,4.64,11,0.04853122681379318
17500,1.82,4.36,11,0.07856166362762451
18000,2.12,4.38,8,0.04835006594657898
18500,1.67,4.17,12,0.04787468910217285
19000,0.75,2.88,8,0.15038898587226868
19500,1.25,3.5,8,0.03666416555643082
20000,2.2,4.7,10,0.03270786255598068
20500,4.0,7.0,8,0.031097374856472015
21000,3.62,6.62,8,0.048540595918893814
21500,2.2,4.8,10,0.05712123215198517
22000,3.2,5.7,10,0.05668139085173607
22500,3.12,6.12,8,0.2538474202156067
23000,4.25,7.25,8,0.16263481974601746
23500,3.25,6.25,8,0.047326453030109406
24000,2.25,4.5,8,0.028857523575425148
24500,3.75,6.75,8,0.04776521772146225
25000,3.88,6.25,8,0.11204447597265244
25500,2.33,4.89,9,0.04539258033037186
26000,5.75,8.75,8,0.5415510535240173
26500,2.7,5.2,10,0.11400647461414337
27000,4.0,7.0,8,0.03490598872303963
27500,2.73,5.27,11,0.04485674574971199
28000,5.75,8.75,8,0.22774773836135864
28500,1.88,4.25,8,0.06824744492769241
29000,2.25,4.62,8,0.08450162410736084
29500,3.78,6.33,9,0.04488450288772583
30000,4.62,7.62,8,0.04738278314471245
30500,5.25,8.25,8,0.15771400928497314
31000,7.12,10.12,8,0.04771537333726883
31500,3.44,5.89,9,0.04654504731297493
32000,7.75,10.75,8,0.05617954954504967
32500,6.25,9.25,8,0.044612035155296326
33000,4.44,7.0,9,0.04775673896074295
33500,7.75,10.75,8,0.07272740453481674
34000,5.0,8.0,8,0.0804101824760437
34500,6.12,9.12,8,0.08953924477100372
35000,3.67,6.25,12,0.2692066431045532
35500,7.38,10.38,8,0.11303560435771942
36000,7.0,10.0,8,0.09823600202798843
36500,7.0,10.0,8,0.07085874676704407
37000,4.5,7.5,8,0.384128600358963
37500,4.25,6.83,12,0.29482677578926086
38000,7.3,9.9,10,0.08884651958942413
38500,4.88,7.88,8,0.062143076211214066
39000,3.0,5.12,8,0.13476596772670746
39500,9.12,12.12,8,0.09071386605501175
40000,8.18,10.82,11,0.4249762296676636
40500,6.1,8.8,10,0.22468172013759613
41000,4.38,7.38,8,0.05561095476150513
41500,6.5,9.5,8,0.05714109167456627
42000,4.4,7.0,10,0.564224898815155
42500,3.8,6.4,10,0.06582408398389816
43000,8.0,11.0,8,0.16529689729213715
43500,3.12,5.38,8,0.10537995398044586
44000,8.38,11.38,8,0.05897272378206253
44500,7.88,10.88,8,0.0819375142455101
45000,6.5,9.5,8,0.27225062251091003
45500,6.62,9.62,8,0.2030196636915207
46000,9.5,12.5,8,0.08606894314289093
46500,7.0,10.0,8,0.10978059470653534
47000,8.12,11.12,8,0.47596484422683716
47500,8.75,11.33,12,0.11546024680137634
48000,7.38,10.38,8,0.08256477117538452
48500,6.62,9.62,8,0.14670489728450775
49000,6.27,8.82,11,0.14872640371322632
49500,7.44,10.0,9,0.16147416830062866
50000,8.0,10.6,10,0.3235406279563904
50500,7.45,10.09,11,0.1267882138490677
51000,5.09,7.64,11,0.23843133449554443
51500,4.91,7.45,11,0.08262653648853302
52000,4.8,7.2,10,0.07944365590810776
52500,5.12,8.12,8,0.3575020134449005
53000,10.25,13.25,8,0.28646916151046753
53500,5.25,7.62,8,0.15367430448532104
54000,5.0,8.0,8,0.17759835720062256
54500,11.0,14.0,8,0.1259104460477829
55000,12.0,15.0,8,0.06047283113002777
55500,9.75,12.75,8,0.06265807896852493
56000,7.75,10.75,8,0.09339453279972076
56500,9.25,12.25,8,0.0839395597577095
57000,9.75,12.75,8,0.20550648868083954
57500,6.25,8.62,8,0.23072120547294617
58000,10.62,13.62,8,0.12627997994422913
58500,5.25,8.25,8,0.0535103939473629
59000,6.12,9.12,8,0.07484091818332672
59500,8.2,10.6,10,0.06948520243167877
60000,7.56,10.56,9,0.11131355166435242
60500,12.0,15.0,8,0.5239010453224182
61000,11.25,14.25,8,0.332859605550766
61500,3.44,5.67,9,0.1055494099855423
62000,9.88,12.88,8,0.053502365946769714
62500,9.25,12.25,8,0.11277690529823303
63000,12.38,15.38,8,0.12882138788700104
63500,3.12,5.62,8,0.20490482449531555
64000,8.75,11.75,8,0.09237384051084518
64500,9.5,12.5,8,0.06330838799476624
65000,6.62,9.62,8,0.4002429246902466
65500,5.18,7.64,11,0.37627023458480835
66000,13.25,16.25,8,0.08404205739498138
66500,11.75,14.75,8,0.5232471227645874
67000,6.8,9.3,10,0.15308845043182373
67500,6.58,9.17,12,0.09469630569219589
68000,11.88,14.88,8,0.13091713190078735
68500,6.12,9.12,8,0.11152832955121994
69000,8.25,11.25,8,0.08625652641057968
69500,11.12,14.12,8,0.11685140430927277
70000,7.27,9.73,11,0.5408755540847778
70500,5.88,8.88,8,0.10755878686904907
71000,7.78,10.33,9,0.08811485022306442
71500,12.12,15.12,8,0.07957885414361954
72000,7.6,10.3,10,0.09608549624681473
72500,11.5,14.5,8,0.07793642580509186
73000,6.55,9.18,11,0.05335291847586632
73500,9.38,12.38,8,0.06906753033399582
74000,4.44,6.78,9,0.24210992455482483
74500,7.33,9.92,12,0.1505129635334015
75000,11.38,14.38,8,0.12516020238399506
75500,10.12,13.12,8,0.05561954528093338
76000,8.62,11.62,8,0.1328510195016861
76500,11.75,14.75,8,0.11830838024616241
77000,4.88,7.0,8,0.09544845670461655
77500,10.0,12.45,11,0.1047518402338028
78000,8.6,11.3,10,0.34200620651245117
78500,10.1,12.7,10,0.15611140429973602
79000,9.12,12.12,8,0.16179150342941284
79500,9.33,11.78,9,0.13009175658226013
